Placement,ID,Sex,Athlete,Illegal Sections,Choice 1,Choice 2,Choice 3
,0,F,,"Section-5, Section-3",Section-8,Section-7,Section-10
,1,M,,"Section-18, Section-11",Section-4,Section-12,Section-7
,2,M,,"Section-7, Section-5",Section-11,Section-3,Section-14
,3,F,,"Section-15, Section-20",Section-10,Section-8,Section-11
Section-1,4,F,Y,,Section-9,Section-16,Section-1
,5,M,,"Section-2, Section-4",Section-4,Section-17,Section-8
,6,M,,"Section-20, Section-14",Section-1,Section-6,Section-10
,7,M,Y,,Section-9,Section-19,Section-2
,8,M,,"Section-9, Section-14",Section-18,Section-20,Section-11
,9,F,,"Section-17, Section-19",Section-18,Section-15,Section-8
,10,F,,"Section-9, Section-10",Section-14,Section-1,Section-19
,11,F,,,Section-14,Section-1,Section-20
,12,M,,,Section-1,Section-19,Section-8
,13,F,,"Section-18, Section-6",Section-19,Section-11,Section-5
,14,M,,,Section-17,Section-18,Section-4
,15,F,,"Section-3, Section-13",Section-10,Section-4,Section-19
,16,F,,,Section-14,Section-12,Section-16
,17,M,Y,"Section-1, Section-2",Section-12,Section-18,Section-16
,18,F,,,Section-4,Section-7,Section-14
,19,M,,"Section-1, Section-17",Section-1,Section-12,Section-3
,20,M,Y,"Section-5, Section-3",Section-3,Section-1,Section-15
,21,F,,"Section-9, Section-8",Section-4,Section-8,Section-6
,22,F,Y,"Section-4, Section-18",Section-2,Section-7,Section-4
,23,F,Y,"Section-19, Section-20",Section-11,Section-7,Section-20
,24,M,,,Section-19,Section-1,Section-3
,25,M,,,Section-1,Section-17,Section-20
,26,M,,,Section-13,Section-10,Section-6
,27,F,Y,,Section-1,Section-16,Section-2
,28,F,Y,,Section-4,Section-10,Section-9
,29,M,Y,"Section-11, Section-11",Section-3,Section-13,Section-10
,30,M,,,Section-14,Section-17,Section-20
,31,M,Y,"Section-4, Section-12",Section-10,Section-15,Section-2
,32,M,,,Section-20,Section-1,Section-15
Section-6,33,F,,,Section-6,Section-15,Section-20
,34,M,,,Section-13,Section-20,Section-2
,35,M,Y,,Section-19,Section-20,Section-18
,36,F,Y,,Section-13,Section-15,Section-18
,37,F,,,Section-9,Section-16,Section-8
,38,F,,"Section-13, Section-3",Section-15,Section-16,Section-12
,39,F,Y,"Section-4, Section-17",Section-1,Section-10,Section-6
,40,M,,"Section-15, Section-17",Section-3,Section-7,Section-20
,41,F,Y,,Section-1,Section-9,Section-12
,42,F,Y,"Section-2, Section-9",Section-3,Section-15,Section-8
,43,F,,"Section-9, Section-8",Section-4,Section-8,Section-19
,44,F,,"Section-10, Section-6",Section-15,Section-16,Section-9
,45,F,Y,"Section-11, Section-16",Section-3,Section-6,Section-17
,46,F,,"Section-15, Section-1",Section-3,Section-17,Section-15
,47,M,Y,,Section-1,Section-8,Section-7
Section-20,48,F,,"Section-6, Section-10",Section-12,Section-19,Section-20
,49,F,,"Section-18, Section-2",Section-17,Section-8,Section-1
,50,F,,"Section-17, Section-2",Section-11,Section-9,Section-7
,51,F,Y,"Section-6, Section-10",Section-6,Section-9,Section-15
,52,M,,,Section-6,Section-9,Section-13
,53,M,,,Section-14,Section-3,Section-15
Section-9,54,M,,,Section-18,Section-9,Section-8
,55,F,,,Section-8,Section-19,Section-7
