Placement,ID,Gender,Athlete,Sport,Previous Instructor,Illegal Sections,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,0,F,,,,,Section-8,Section-15,Section-12,Section-21,Section-20,Section-3
,1,F,,,,,Section-14,Section-33,Section-29,Section-3,Section-1,Section-28
,2,F,,,,,Section-8,Section-20,Section-33,Section-29,Section-25,Section-15
,3,M,,,,,Section-18,Section-17,Section-28,Section-6,Section-11,Section-35
,4,F,,,,,Section-26,Section-16,Section-35,Section-8,Section-14,Section-1
Section-21,5,F,,,,,Section-33,Section-21,Section-26,Section-30,Section-24,Section-23
,6,F,,,,,Section-8,Section-25,Section-23,Section-21,Section-32,Section-33
,7,F,,,,,Section-32,Section-24,Section-31,Section-20,Section-7,Section-28
,8,F,,,,,Section-21,Section-30,Section-5,Section-3,Section-17,Section-7
,9,F,,,,,Section-26,Section-28,Section-23,Section-9,Section-20,Section-6
,10,M,,,,,Section-16,Section-3,Section-17,Section-9,Section-31,Section-35
Section-27,11,M,Y,,,,Section-1,Section-31,Section-27,Section-25,Section-5,Section-12
,12,F,Y,,,,Section-18,Section-34,Section-27,Section-17,Section-22,Section-12
,13,M,,,,,Section-19,Section-24,Section-6,Section-1,Section-27,Section-32
,14,F,,,,,Section-22,Section-7,Section-15,Section-20,Section-13,Section-2
,15,F,Y,,,,Section-35,Section-32,Section-10,Section-19,Section-11,Section-25
,16,M,,,,,Section-34,Section-24,Section-35,Section-22,Section-12,Section-11
,17,M,,,,,Section-27,Section-35,Section-9,Section-30,Section-28,Section-24
Section-31,18,M,Y,,,,Section-12,Section-21,Section-31,Section-5,Section-24,Section-17
,19,F,Y,,,,Section-6,Section-9,Section-12,Section-15,Section-21,Section-13
,20,M,Y,,,,Section-28,Section-25,Section-14,Section-19,Section-16,Section-12
,21,M,,,,,Section-5,Section-21,Section-6,Section-11,Section-30,Section-23
,22,F,,,,,Section-15,Section-29,Section-31,Section-2,Section-22,Section-34
,23,F,,,,,Section-26,Section-11,Section-32,Section-21,Section-19,Section-1
,24,F,,,,,Section-17,Section-14,Section-9,Section-21,Section-29,Section-15
,25,F,,,,,Section-29,Section-28,Section-23,Section-32,Section-15,Section-5
,26,M,,,,,Section-31,Section-20,Section-6,Section-24,Section-12,Section-22
,27,M,,,,,Section-10,Section-19,Section-14,Section-6,Section-33,Section-32
,28,F,,,,,Section-15,Section-6,Section-25,Section-28,Section-27,Section-19
,29,M,,,,,Section-12,Section-27,Section-22,Section-16,Section-10,Section-34
,30,M,Y,,,,Section-10,Section-8,Section-6,Section-21,Section-32,Section-23
,31,M,,,,,Section-18,Section-9,Section-16,Section-8,Section-21,Section-29
,32,F,Y,,,,Section-27,Section-23,Section-17,Section-14,Section-1,Section-29
Section-26,33,F,,,,,Section-26,Section-34,Section-11,Section-13,Section-31,Section-28
,34,M,,,,,Section-14,Section-32,Section-21,Section-24,Section-30,Section-12
,35,F,,,,,Section-33,Section-30,Section-14,Section-13,Section-4,Section-16
,36,F,,,,,Section-30,Section-32,Section-8,Section-1,Section-2,Section-27
,37,F,,,,,Section-12,Section-34,Section-16,Section-28,Section-8,Section-20
,38,F,,,,,Section-4,Section-18,Section-21,Section-22,Section-19,Section-31
Section-35,39,F,Y,,,,Section-12,Section-16,Section-35,Section-19,Section-25,Section-5
,40,F,,,,,Section-11,Section-23,Section-29,Section-15,Section-19,Section-12
,41,F,Y,,,,Section-32,Section-8,Section-24,Section-27,Section-3,Section-20
,42,F,,,,,Section-25,Section-2,Section-7,Section-34,Section-31,Section-30
,43,M,Y,,,,Section-33,Section-22,Section-20,Section-14,Section-18,Section-9
,44,M,Y,,,,Section-21,Section-33,Section-31,Section-22,Section-26,Section-16
,45,F,,,,,Section-6,Section-30,Section-13,Section-33,Section-29,Section-12
,46,M,,,,,Section-16,Section-6,Section-31,Section-17,Section-9,Section-15
,47,F,Y,,,,Section-21,Section-33,Section-24,Section-25,Section-12,Section-1
,48,F,,,,,Section-4,Section-35,Section-32,Section-20,Section-1,Section-31
,49,F,Y,,,,Section-29,Section-9,Section-22,Section-35,Section-31,Section-5
,50,M,,,,,Section-12,Section-11,Section-13,Section-6,Section-5,Section-3
Section-5,51,F,,,,,Section-15,Section-18,Section-5,Section-31,Section-8,Section-30
,52,F,Y,,,,Section-21,Section-10,Section-12,Section-26,Section-18,Section-23
Section-17,53,F,Y,,,,Section-17,Section-30,Section-7,Section-16,Section-18,Section-4
Section-15,54,M,Y,,,,Section-24,Section-2,Section-15,Section-21,Section-4,Section-34
,55,F,,,,,Section-34,Section-35,Section-26,Section-27,Section-4,Section-24
,56,M,,,,,Section-10,Section-9,Section-16,Section-17,Section-11,Section-7
,57,M,,,,,Section-13,Section-3,Section-31,Section-10,Section-18,Section-8
,58,F,,,,,Section-17,Section-3,Section-31,Section-29,Section-20,Section-13
,59,M,,,,,Section-25,Section-6,Section-1,Section-15,Section-22,Section-31
Section-28,60,F,Y,,,,Section-28,Section-15,Section-29,Section-5,Section-32,Section-34
,61,F,,,,,Section-31,Section-34,Section-10,Section-28,Section-7,Section-11
,62,M,,,,,Section-24,Section-26,Section-23,Section-20,Section-33,Section-11
,63,F,,,,,Section-27,Section-23,Section-7,Section-13,Section-31,Section-6
Section-13,64,F,,,,,Section-30,Section-13,Section-17,Section-2,Section-10,Section-15
,65,F,,,,,Section-1,Section-24,Section-15,Section-28,Section-19,Section-11
,66,M,,,,,Section-32,Section-11,Section-22,Section-18,Section-33,Section-19
,67,F,,,,,Section-22,Section-18,Section-28,Section-6,Section-30,Section-34
,68,F,,,,,Section-27,Section-2,Section-26,Section-25,Section-12,Section-10
,69,M,Y,,,,Section-31,Section-35,Section-28,Section-26,Section-13,Section-16
Section-6,70,F,,,,,Section-7,Section-6,Section-24,Section-34,Section-13,Section-17
