Placement,ID,Gender,Athlete,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,0,F,,Section-3,Section-1,Section-25,Section-22,Section-9,Section-17
,1,M,,Section-14,Section-24,Section-7,Section-26,Section-17,Section-19
,2,F,,Section-26,Section-15,Section-16,Section-17,Section-10,Section-6
,3,F,,Section-18,Section-25,Section-23,Section-16,Section-21,Section-20
,4,M,,Section-1,Section-12,Section-23,Section-15,Section-19,Section-22
,5,M,,Section-23,Section-3,Section-14,Section-6,Section-19,Section-1
,6,F,,Section-29,Section-22,Section-17,Section-11,Section-26,Section-5
,7,F,,Section-26,Section-3,Section-5,Section-4,Section-18,Section-29
,8,F,,Section-10,Section-30,Section-26,Section-9,Section-21,Section-19
,9,M,,Section-27,Section-28,Section-16,Section-7,Section-1,Section-25
,10,F,,Section-10,Section-14,Section-28,Section-18,Section-8,Section-3
,11,F,,Section-1,Section-19,Section-11,Section-24,Section-10,Section-13
,12,M,,Section-28,Section-23,Section-5,Section-18,Section-2,Section-12
,13,F,,Section-10,Section-13,Section-9,Section-12,Section-20,Section-1
,14,F,,Section-25,Section-20,Section-22,Section-27,Section-3,Section-8
,15,M,,Section-12,Section-3,Section-9,Section-18,Section-6,Section-19
,16,M,,Section-3,Section-13,Section-10,Section-23,Section-7,Section-4
,17,F,,Section-25,Section-6,Section-3,Section-24,Section-7,Section-21
,18,F,,Section-30,Section-28,Section-29,Section-9,Section-4,Section-25
,19,F,,Section-30,Section-27,Section-6,Section-2,Section-5,Section-7
,20,F,,Section-29,Section-28,Section-23,Section-30,Section-6,Section-14
,21,F,,Section-7,Section-18,Section-22,Section-1,Section-12,Section-5
,22,M,,Section-22,Section-12,Section-4,Section-2,Section-27,Section-7
,23,M,,Section-12,Section-9,Section-15,Section-22,Section-21,Section-7
,24,M,,Section-30,Section-20,Section-22,Section-19,Section-3,Section-26
,25,F,,Section-12,Section-4,Section-26,Section-8,Section-19,Section-7
,26,M,,Section-20,Section-15,Section-30,Section-28,Section-12,Section-21
