Placement,ID,Gender,Athlete,Sport,Previous Instructor,Illegal Sections,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,0,F,,,,,Section-29,Section-1,Section-28,Section-13,Section-35,Section-33
Section-20,1,F,Y,,,,Section-15,Section-11,Section-5,Section-33,Section-12,Section-32
,2,F,,,,,Section-14,Section-11,Section-20,Section-30,Section-19,Section-24
,3,F,,,,,Section-25,Section-30,Section-17,Section-19,Section-14,Section-21
,4,M,,,,,Section-26,Section-11,Section-29,Section-7,Section-34,Section-24
,5,F,,,,,Section-22,Section-10,Section-4,Section-28,Section-34,Section-17
Section-32,6,M,,,,,Section-35,Section-21,Section-26,Section-10,Section-13,Section-5
,7,F,,,,,Section-11,Section-8,Section-24,Section-35,Section-25,Section-20
,8,M,Y,,,,Section-2,Section-19,Section-21,Section-35,Section-17,Section-25
,9,M,,,,,Section-8,Section-12,Section-34,Section-1,Section-23,Section-20
,10,F,Y,,,,Section-6,Section-28,Section-13,Section-25,Section-17,Section-20
,11,F,,,,,Section-31,Section-7,Section-11,Section-8,Section-27,Section-16
,12,M,,,,,Section-6,Section-1,Section-17,Section-28,Section-11,Section-18
,13,M,,,,,Section-4,Section-34,Section-13,Section-20,Section-25,Section-11
,14,F,,,,,Section-29,Section-20,Section-31,Section-25,Section-35,Section-10
,15,F,,,,,Section-16,Section-29,Section-13,Section-2,Section-11,Section-24
,16,F,,,,,Section-7,Section-25,Section-27,Section-12,Section-16,Section-14
,17,M,,,,,Section-25,Section-5,Section-7,Section-6,Section-19,Section-14
,18,F,,,,,Section-35,Section-10,Section-16,Section-11,Section-2,Section-21
,19,M,,,,,Section-5,Section-30,Section-3,Section-8,Section-6,Section-28
,20,M,,,,,Section-29,Section-12,Section-28,Section-11,Section-23,Section-33
,21,M,,,,,Section-13,Section-30,Section-29,Section-6,Section-4,Section-18
,22,M,,,,,Section-26,Section-29,Section-34,Section-15,Section-33,Section-9
,23,M,,,,,Section-28,Section-18,Section-33,Section-30,Section-16,Section-9
,24,M,,,,,Section-7,Section-5,Section-21,Section-34,Section-17,Section-16
,25,F,,,,,Section-27,Section-5,Section-20,Section-11,Section-33,Section-8
Section-21,26,M,,,,,Section-35,Section-16,Section-6,Section-21,Section-30,Section-5
,27,M,,,,,Section-13,Section-26,Section-22,Section-4,Section-28,Section-23
Section-18,28,F,Y,,,,Section-17,Section-27,Section-8,Section-15,Section-14,Section-16
,29,M,,,,,Section-34,Section-33,Section-8,Section-1,Section-15,Section-23
,30,M,,,,,Section-17,Section-15,Section-5,Section-4,Section-18,Section-1
Section-27,31,F,Y,,,,Section-20,Section-33,Section-19,Section-5,Section-6,Section-18
,32,M,,,,,Section-4,Section-8,Section-19,Section-28,Section-10,Section-5
Section-22,33,M,Y,,,,Section-20,Section-21,Section-7,Section-22,Section-17,Section-6
,34,F,Y,,,,Section-32,Section-31,Section-8,Section-28,Section-30,Section-23
,35,M,Y,,,,Section-10,Section-12,Section-11,Section-2,Section-21,Section-31
Section-12,36,M,,,,,Section-33,Section-28,Section-17,Section-1,Section-9,Section-27
,37,M,Y,,,,Section-28,Section-33,Section-16,Section-7,Section-13,Section-10
,38,F,,,,,Section-29,Section-14,Section-8,Section-30,Section-26,Section-24
,39,M,,,,,Section-19,Section-3,Section-10,Section-18,Section-23,Section-12
,40,F,,,,,Section-26,Section-22,Section-3,Section-29,Section-19,Section-25
,41,F,,,,,Section-35,Section-8,Section-1,Section-4,Section-17,Section-29
,42,M,,,,,Section-2,Section-6,Section-31,Section-9,Section-5,Section-7
Section-3,43,F,,,,,Section-20,Section-4,Section-18,Section-30,Section-35,Section-14
,44,F,,,,,Section-21,Section-33,Section-5,Section-32,Section-18,Section-30
